Name;Model;R2;R2_adjusted;RMSE;Sigma;AIC_wt;BIC_wt;Performance_Score
modWtSex;lm;0,1590569712441908;0,1319297767681968;816,476523514393;835,996646604052;0,5382492798416630;0,4921761216115633;0,9718063791165772
modWtAgeSex;lm;0,1649729607256687;0,1239060571547999;813,599520233487;839,851388650128;0,2490778708179355;0,0767909482396558;0,6772779083551433
modWt;lm;0,0943669113110664;0,0799917829191785;847,298729748321;860,642837753865;0,1315959309117168;0,3568960483006793;0,1319321435481468
modWtAge;lm;0,1086227710493861;0,0798686668896890;840,603477228628;860,700421687569;0,0810769184286847;0,0741368818481016;0,0667639833672183
