Name;Model;R2;R2_adjusted;RMSE;Sigma;AIC_wt;AICc_wt;BIC_wt;Performance_Score
modWtSex;lm;0,1590569712441908;0,1319297767681971;816,476523514393;835,996646604052;0,5382492798416630;0,5496567395470685;0,4921761216115633;0,9758340392427809
modWtAgeSex;lm;0,1649729607256687;0,1239060571547999;813,599520233487;839,851388650128;0,2490778708179355;0,2134913921458222;0,0767909482396558;0,6205162523572537
modWt;lm;0,0943669113110664;0,0799917829191786;847,298729748321;860,642837753865;0,1315959309117168;0,1540566351223217;0,3568960483006793;0,1348903052089086
modWtAge;lm;0,1086227710493861;0,0798686668896890;840,603477228628;860,700421687569;0,0810769184286847;0,0827952331847876;0,0741368818481016;0,0572262714576158
